<<<<<<< HEAD
Model,accuracy,f1_score,time
SVC,0.75,0.7433333333333334,3.1773574352264404
SupportVectorMachineCustom,0.6625,0.6259514616657474,5.601506471633911
=======
Model,MAE,MSE,R2 Score,Accuracy
LassoRegressionCustom,0.3471771974352064,0.16394358290363265,0.3291311185529098,
RidgeRegressionCustom,0.34658702785781237,0.17061665508208707,0.301824429331613,
Lasso,0.34266434219063663,0.16587344816673752,0.3212339716962146,
Ridge,0.3465870278578124,0.17061665508208734,0.3018244293316118,
SVC,0.25,0.25,-0.023017902813299296,0.75
>>>>>>> origin/SVM
